bbab8n; 23; bin blue at b eight now;  4 11 16 2 4 14 23 7 2 3 22 2 4 2 7 11 9 10 22 2 16 17 25
bbab9s; 22; bin blue at b nine now;  4 11 16 2 4 14 23 7 2 3 22 2 4 2 16 11 16 7 2 16 17 25
bbac1a; 22; bin blue at c one soon;  4 11 16 2 4 14 23 7 2 3 22 2 5 2 17 16 7 2 21 17 17 16
bbaczp; 25; bin blue at c zero please;  4 11 16 2 4 14 23 7 2 3 22 2 5 2 28 7 20 17 2 18 14 7 3 21 7
bbae4n; 22; bin blue at e four now;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 8 17 23 20 2 16 17 25
bbae5n; 22; bin blue at e five now;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 8 11 24 7 2 16 17 25
bbae5s; 22; bin blue at e five now;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 8 11 24 7 2 16 17 25
bbae6n; 21; bin blue at e six now;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 21 11 26 2 16 17 25
bbae6p; 24; bin blue at e six please;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 21 11 26 2 18 14 7 3 21 7
bbae6s; 24; bin blue at e six please;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 21 11 26 2 18 14 7 3 21 7
bbae7a; 24; bin blue at e seven soon;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 21 7 24 7 16 2 21 17 17 16
bbae7n; 23; bin blue at e seven now;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 21 7 24 7 16 2 16 17 25
bbae7p; 26; bin blue at e seven please;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 21 7 24 7 16 2 18 14 7 3 21 7
bbae7s; 26; bin blue at e seven please;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 21 7 24 7 16 2 18 14 7 3 21 7
bbae8a; 24; bin blue at e eight soon;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 7 11 9 10 22 2 21 17 17 16
bbae8p; 26; bin blue at e eight please;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 7 11 9 10 22 2 18 14 7 3 21 7
bbae8s; 26; bin blue at e eight please;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 7 11 9 10 22 2 18 14 7 3 21 7
bbae9a; 23; bin blue at e nine soon;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 16 11 16 7 2 21 17 17 16
bbae9p; 25; bin blue at e nine please;  4 11 16 2 4 14 23 7 2 3 22 2 7 2 16 11 16 7 2 18 14 7 3 21 7
bbaf1n; 21; bin blue at f one now;  4 11 16 2 4 14 23 7 2 3 22 2 8 2 17 16 7 2 16 17 25
bbaf1s; 21; bin blue at f one now;  4 11 16 2 4 14 23 7 2 3 22 2 8 2 17 16 7 2 16 17 25
bbaf2p; 24; bin blue at f two please;  4 11 16 2 4 14 23 7 2 3 22 2 8 2 22 25 17 2 18 14 7 3 21 7
bbaf2s; 24; bin blue at f two please;  4 11 16 2 4 14 23 7 2 3 22 2 8 2 22 25 17 2 18 14 7 3 21 7
bbaf3a; 22; bin blue at f two soon;  4 11 16 2 4 14 23 7 2 3 22 2 8 2 22 25 17 2 21 17 17 16
bbaf3p; 24; bin blue at f two please;  4 11 16 2 4 14 23 7 2 3 22 2 8 2 22 25 17 2 18 14 7 3 21 7
bbaf4a; 23; bin blue at f four soon;  4 11 16 2 4 14 23 7 2 3 22 2 8 2 8 17 23 20 2 21 17 17 16
bbafza; 23; bin blue at f zero soon;  4 11 16 2 4 14 23 7 2 3 22 2 8 2 28 7 20 17 2 21 17 17 16
bbafzn; 22; bin blue at f zero now;  4 11 16 2 4 14 23 7 2 3 22 2 8 2 28 7 20 17 2 16 17 25
bbai2n; 21; bin blue at i two now;  4 11 16 2 4 14 23 7 2 3 22 2 11 2 22 25 17 2 16 17 25
bbai3s; 21; bin blue at i two now;  4 11 16 2 4 14 23 7 2 3 22 2 11 2 22 25 17 2 16 17 25
bbai4p; 25; bin blue at i four please;  4 11 16 2 4 14 23 7 2 3 22 2 11 2 8 17 23 20 2 18 14 7 3 21 7
bbai5a; 23; bin blue at i five soon;  4 11 16 2 4 14 23 7 2 3 22 2 11 2 8 11 24 7 2 21 17 17 16
bbak8n; 23; bin blue at k eight now;  4 11 16 2 4 14 23 7 2 3 22 2 13 2 7 11 9 10 22 2 16 17 25
bbak9n; 22; bin blue at k nine now;  4 11 16 2 4 14 23 7 2 3 22 2 13 2 16 11 16 7 2 16 17 25
bbak9s; 22; bin blue at k nine now;  4 11 16 2 4 14 23 7 2 3 22 2 13 2 16 11 16 7 2 16 17 25
bbal1a; 22; bin blue at l one soon;  4 11 16 2 4 14 23 7 2 3 22 2 14 2 17 16 7 2 21 17 17 16
bbal1n; 21; bin blue at l one now;  4 11 16 2 4 14 23 7 2 3 22 2 14 2 17 16 7 2 16 17 25
bbal1p; 24; bin blue at l one please;  4 11 16 2 4 14 23 7 2 3 22 2 14 2 17 16 7 2 18 14 7 3 21 7
bbal1s; 24; bin blue at l one please;  4 11 16 2 4 14 23 7 2 3 22 2 14 2 17 16 7 2 18 14 7 3 21 7
bbal2a; 22; bin blue at l two soon;  4 11 16 2 4 14 23 7 2 3 22 2 14 2 22 25 17 2 21 17 17 16
